time, low pass angle, kalman angle
336, -3.723187901096828, -1.027375043708907
358, -1.737013650338107, -1.108824219533083
383, -1.014494481710648, -1.147886719533083
415, 0.8550807813117009, -1.092606191480278
440, 2.276949079175294, -0.9716950693352924
465, 4.329616423264039, -0.7622941684343916
496, 5.489576111587183, -0.5073208515214196
523, 5.900034519978599, -0.2461957576070695
546, 6.10265305677226, 0.01563999118520099
569, 6.233911920411916, 0.2717118741368548
593, 5.594060654952381, 0.4941471682545018
618, 5.230780523080577, 0.6984788649266239
642, 4.892145711130896, 0.8840191997820273
666, 4.297013567054591, 1.043296635922046
687, 4.100141490045534, 1.192004637690393
710, 3.763827299149161, 1.325181656323933
733, 3.685473954145257, 1.451979168955103
755, 3.700694130278657, 1.576019739130541
781, 3.809548212448247, 1.699795565576822
801, 4.244794397277298, 1.832042884393852
825, 4.586728378674179, 1.970261010353913
845, 5.255232547481771, 2.122536315764036
871, 6.062226268719552, 2.291518665460671
898, 7.274191872249033, 2.487936575908432
928, 8.659726529293968, 2.714837870406814
958, 10.64916039380074, 2.985268557610605
983, 12.82403332537513, 3.2995893570686
1005, 15.5028992049173, 3.668412886480364
1031, 18.99092097619796, 4.106658924759846
1055, 22.89919597566014, 4.61965184093458
1080, 27.74754179613977, 5.226431501951529
1101, 33.22320617106854, 5.933153944672077
1123, 38.35015518764618, 6.728504230089825
1146, 43.123800528793, 7.604520996358086
1167, 47.52817243566901, 8.547997558858086
1193, 51.37960989386254, 9.546458861540078
1217, 54.58045146922221, 10.59126978590983
1243, 57.30471920225035, 11.66789517620219
1265, 59.5471229809413, 12.76395820600804
1294, 61.38547666387955, 13.8741124171587
1318, 62.77977135084982, 14.99596365682812
1343, 63.60017398967825, 16.11257632251295
1363, 64.4904845193516, 17.22452333531522
1385, 65.47501265252558, 18.33435435834192
1406, 66.62251669551124, 19.44248995156226
1428, 67.88656567696471, 20.55244520343793
1462, 69.10869487028094, 21.67032650661286
3, -0.1488256, -0.1727272727272727
24, -0.05314034656, -0.1202272727272727
48, 0.04477414546311999, -0.05367965367965368
71, -0.1992816339828499, -0.04547452547452549
90, -1.36915886797313, -0.2257971061196868
113, -2.467610469793484, -0.53463043945302
133, -2.647855597519082, -0.8230450735993616
153, -2.48472636678327, -1.060622713350914
176, -2.471636507328127, -1.27227712511562
201, -2.010802696339799, -1.422753315591811
221, 0.1080714117593078, -1.387507413952466
241, 1.016688399901331, -1.285544604035111
263, 3.012817424481832, -1.048431927978773
284, 4.207275887751565, -0.7480270696791777
307, 4.53943522672888, -0.4454344770865851
327, 4.763634101138556, -0.1471476553811587
349, 5.373098472884162, 0.1685254215419183
371, 5.424956439538755, 0.4699132891889771
391, 3.89488934764381, 0.681684466306689
413, 3.904881077846774, 0.885778309405001
433, 2.735672281891752, 1.027812093188785
463, 2.006826608972295, 1.13474559072573
490, 1.076335065274254, 1.199929662851951
511, 0.07648273706621089, 1.22350109142338
531, -0.5247814892124102, 1.22350109142338
555, -1.62974440468499, 1.183206973776321
574, -2.538692680342056, 1.11233817945008
595, -3.597326762241557, 1.008141071383109
618, -4.568095708892142, 0.8754790562459283
639, -4.946436331467928, 0.7355586318427453
663, -4.624415412891142, 0.6093526277019585
687, -3.86452207863117, 0.5102465258752971
708, -3.214571539072558, 0.4332728416647708
731, -2.806666740730744, 0.3704086887722088
751, -0.04107318301909935, 0.3861041713851435
773, 1.615985009692955, 0.446270070002655
794, 3.864538231588719, 0.5640347587751972
817, 6.175076871737042, 0.7379323042798855
847, 7.081349885935784, 0.930192058142153
869, 8.619665463466735, 1.157908637679121
894, 9.183589536566481, 1.394644419669642
917, 9.235723231594857, 1.627381547040916
940, 9.620809159456241, 1.863596802373818
961, 10.25045499999072, 2.109040309268241
981, 10.59047830873431, 2.356558510763716
1001, 11.59492257785251, 2.620154555961456
1025, 12.66517815458313, 2.900778766677675
1045, 13.88865869375812, 3.200599731908603
1070, 15.51130691421243, 3.527359360062654
1090, 17.46337855878816, 3.885883355598368
1115, 19.9010588732695, 4.284573010770782
1134, 22.69123723559118, 4.728566450251838
1153, 26.09322568569614, 5.226749107078406
1175, 30.19989931657187, 5.790715131141846
1195, 34.82638308938345, 6.426480255697006
1218, 39.46472501059284, 7.131677967076536
1244, 44.53669950093224, 7.911884152643546
1270, 49.85555376122079, 8.773627277347197
1288, 55.00842729927525, 9.70587066146909
1312, 59.937646643902, 10.70401456309754
1331, 64.48885733004378, 11.75989612794212
1353, 68.51377603761998, 12.8649339988697
1378, 72.22421139085592, 14.01038671718947
1396, 76.86006971757717, 15.21003614751375
1417, 80.71494327995548, 16.44880219736269
1440, 84.27857804945607, 17.72203319553119
1461, 87.77661722410812, 19.02949609431373
1482, 91.11842331659474, 20.36710458365892
1503, 93.92740460833503, 21.72554978225117
1523, 94.75089463631159, 23.07548342498037
1543, 94.6719333707852, 24.40467515430368
1563, 93.93470895333431, 25.70474172861292
1585, 92.82472843365701, 26.97311661630385
1609, 91.49662384877377, 28.20695077544113
1629, 90.10590741931004, 29.40484873245326
1653, 88.77826907423758, 30.57367826613202
1681, 87.44490201934459, 31.71675388196187
1701, 86.26801758720886, 32.82983272231344
1727, 85.00216742461285, 33.91515547312872
1749, 83.91403943534733, 34.973694476683
1767, 82.93778971706478, 36.00688669079492
