time, low pass gyro, kalman gyro
1141, 1.997165114567451, 0.001893940346779215
1161, 2.995666532010168, 0.002839125065465808
1181, 8.991168698744163, 0.008511987591678551
1202, 5.98817311439479, 0.00566304160857189
1222, 5.985179027837593, 0.00566038429446952
1243, 3.983186438323674, 0.003768254363347547
1266, 1.982194845104513, 0.001881471965193793
1286, -0.01779625231803974, -1.762205781660174e-06
1307, -0.01778735419188072, 1.107396234949863e-08
1330, -3.016278460514785, -0.002819539475250586
1351, -7.012770321284528, -0.006570113099649063
1372, -14.00576393612389, -0.01312703553237399
1393, -6.002761054155823, -0.005610930604579908
1413, -8.998259673628745, -0.008421703239722236
1434, -11.99226054379193, -0.01121755686379512
1455, -11.98626441352004, -0.01120446021848754
1478, -4.983771281313275, -0.004658063053628122
1499, -4.981279395672618, -0.004659824559337038
